timestamp;frequency_mean_Hz;frequency_min_Hz;frequency_max_Hz;activation_factor_signed;activation_factor_positive;activation_factor_negative;activation_factor_absolute;raw_samples;raw_coverage_percent;source_data_original;data_filled;source_timestamp
01.01.2021 17:00;50,004003;49,98;50,038;-0,01807602;0,00414035;0,02221637;0,02635673;900;100;False;True;04.01.2021 17:00
01.01.2021 17:15;49,997844;49,976;50,022;0,0037076;0,00561988;0,00191228;0,00753216;900;100;False;True;04.01.2021 17:15
01.01.2021 17:30;50,00883;49,98;50,034;-0,01835673;0,00133918;0,01969591;0,02103509;900;100;False;True;04.01.2021 17:30
01.01.2021 17:45;50,009188;49,976;50,041;-0,02819883;0,0030117;0,03121053;0,03422222;900;100;False;True;04.01.2021 17:45
01.01.2021 18:00;49,997507;49,977;50,028;0,0039883;0,0070117;0,00302339;0,01003509;900;100;False;True;04.01.2021 18:00
01.01.2021 18:15;49,99427;49,967;50,023;0,01790058;0,01999415;0,00209357;0,02208772;900;100;False;True;04.01.2021 18:15
01.01.2021 18:30;50,003353;49,981;50,032;-0,00860819;0,00138596;0,00999415;0,01138012;900;100;False;True;04.01.2021 18:30
01.01.2021 18:45;50,001206;49,964;50,027;-0,00321637;0,00861988;0,01183626;0,02045614;900;100;False;True;04.01.2021 18:45
01.01.2021 19:00;49,983948;49,961;50,019;0,04820468;0,04871345;0,00050877;0,04922222;900;100;False;True;04.01.2021 19:00
01.01.2021 19:15;50,011328;49,976;50,026;-0,02101754;0,00154971;0,02256725;0,02411696;900;100;False;True;04.01.2021 19:15
01.01.2021 19:30;50,01216;49,98;50,038;-0,03716374;0,00111696;0,0382807;0,03939766;900;100;False;True;04.01.2021 19:30
01.01.2021 19:45;50,033487;50,005;50,057;-0,12387135;0;0,12387135;0,12387135;900;100;False;True;04.01.2021 19:45
01.01.2021 20:00;49,997753;49,949;50,039;0,0159883;0,04802339;0,03203509;0,08005848;900;100;False;True;04.01.2021 20:00
01.01.2021 20:15;49,998362;49,961;50,034;0,00930994;0,02782456;0,01851462;0,04633918;900;100;False;True;04.01.2021 20:15
01.01.2021 20:30;49,99543;49,96;50,024;0,01905848;0,02354971;0,00449123;0,02804094;900;100;False;True;04.01.2021 20:30
01.01.2021 20:45;50,017546;49,993;50,049;-0,0500117;0;0,0500117;0,0500117;900;100;False;True;04.01.2021 20:45
01.01.2021 21:00;49,972752;49,917;50,031;0,11922807;0,13421053;0,01498246;0,14919298;900;100;False;True;04.01.2021 21:00
01.01.2021 21:15;50,011762;49,98;50,028;-0,02243275;0,00102339;0,02345614;0,02447953;900;100;False;True;04.01.2021 21:15
01.01.2021 21:30;50,015856;49,974;50,053;-0,05340936;0,00295322;0,05636257;0,05931579;900;100;False;True;04.01.2021 21:30
01.01.2021 21:45;50,020298;49,996;50,042;-0,05875439;0;0,05875439;0,05875439;900;100;False;True;04.01.2021 21:45
01.01.2021 22:00;49,965988;49,931;49,995;0,12654971;0,12654971;0;0,12654971;900;100;False;True;04.01.2021 22:00
01.01.2021 22:15;50,007879;49,979;50,033;-0,01622222;0,00352632;0,01974854;0,02327485;900;100;False;True;04.01.2021 22:15
01.01.2021 22:30;50,005898;49,98;50,027;-0,01121637;0,00202924;0,01324561;0,01527485;900;100;False;True;04.01.2021 22:30
01.01.2021 22:45;50,018581;49,993;50,041;-0,05029825;0;0,05029825;0,05029825;900;100;False;True;04.01.2021 22:45
01.01.2021 23:00;49,986263;49,964;50,014;0,03410526;0,03432164;0,00021637;0,03453801;900;100;False;True;04.01.2021 23:00
01.01.2021 23:15;50,008818;49,972;50,036;-0,02531579;0,0082807;0,03359649;0,04187719;900;100;False;True;04.01.2021 23:15
01.01.2021 23:30;50,002309;49,975;50,037;-0,00964912;0,00540351;0,01505263;0,02045614;900;100;False;True;04.01.2021 23:30
01.01.2021 23:45;50,012769;49,978;50,037;-0,03247368;0,00116959;0,03364327;0,03481287;900;100;False;True;04.01.2021 23:45
02.01.2021 00:00;49,963517;49,936;50,001;0,14014402;0,14014402;0;0,14014402;899;99,88888889;False;True;01.01.2021 00:00
02.01.2021 00:15;50,001154;49,972;50,029;0,00148538;0,01215789;0,01067251;0,02283041;900;100;False;True;01.01.2021 00:15
02.01.2021 00:30;50,004256;49,966;50,03;-0,00522222;0,01249708;0,0177193;0,03021637;900;100;False;True;01.01.2021 00:30
02.01.2021 00:45;50,009938;49,986;50,027;-0,01732164;8,772e-05;0,01740936;0,01749708;900;100;False;True;01.01.2021 00:45
02.01.2021 01:00;49,999143;49,972;50,021;0,00424561;0,0085731;0,00432749;0,01290058;900;100;False;True;01.01.2021 01:00
02.01.2021 01:15;50,005607;49,98;50,027;-0,00857895;0,00181871;0,01039766;0,01221637;900;100;False;True;01.01.2021 01:15
02.01.2021 01:30;50,008802;49,981;50,026;-0,0127076;0,00043275;0,01314035;0,0135731;900;100;False;True;01.01.2021 01:30
02.01.2021 01:45;50,014146;49,992;50,034;-0,03205848;0;0,03205848;0,03205848;900;100;False;True;01.01.2021 01:45
02.01.2021 02:00;49,995633;49,973;50,017;0,00771345;0,00902339;0,00130994;0,01033333;900;100;False;True;01.01.2021 02:00
02.01.2021 02:15;50,004699;49,983;50,03;-0,01581871;0,00205848;0,01787719;0,01993567;900;100;False;True;01.01.2021 02:15
02.01.2021 02:30;50,00612;49,981;50,024;-0,00990643;0,00295906;0,0128655;0,01582456;900;100;False;True;01.01.2021 02:30
02.01.2021 02:45;50,0152;49,989;50,03;-0,03364327;1,17e-05;0,03365497;0,03366667;900;100;False;True;01.01.2021 02:45
02.01.2021 03:00;50,005328;49,983;50,033;-0,01487719;0,00112865;0,01600585;0,0171345;900;100;False;True;01.01.2021 03:00
02.01.2021 03:15;50,011771;49,99;50,03;-0,02052632;0;0,02052632;0,02052632;900;100;False;True;01.01.2021 03:15
