time;PV Erzeugung [W];PV Erzeugung [kW];G(i);H_sun;T2m;WS10m;Int
20210109:0810;12,23;0,01223;25,51;3,86;-0,33;1,72;0
20210109:0910;71,11;0,07111;94,62;10,03;-0,29;1,66;0
20210109:1010;86,35;0,08635;111,88;14,43;0,07;1,45;0
20210109:1110;106,83;0,10683;134,58;16,7;0,35;1,1;0
20210109:1210;61,8;0,0618;85,21;16,61;0,69;1,17;0
20210109:1310;33,7;0,0337;52,74;14,19;0,92;1,31;0
20210109:1410;11,43;0,01143;24,55;9,66;1,07;1,24;0
20210109:1510;16,88;0,01688;32,08;3,38;1;0,97;0
20210109:1610;0;0;0;0;0,84;0,97;0
20210109:1710;0;0;0;0;0,66;1,17;0
20210109:1810;0;0;0;0;0,46;1,1;0
20210109:1910;0;0;0;0;0,44;1,31;0
20210109:2010;0;0;0;0;0,67;1,31;0
20210109:2110;0;0;0;0;0,72;1,38;0
20210109:2210;0;0;0;0;0,59;1,24;0
20210109:2310;0;0;0;0;0,33;1,17;0
20210110:0010;0;0;0;0;0,23;1,38;0
20210110:0110;0;0;0;0;0,25;1,31;0
20210110:0210;0;0;0;0;0,32;1,31;0
20210110:0310;0;0;0;0;0,36;1,31;0
20210110:0410;0;0;0;0;0,13;1,17;0
20210110:0510;0;0;0;0;0,19;1,03;0
20210110:0610;0;0;0;0;0,08;0,9;0
20210110:0710;0;0;0;0;0,05;0,69;0
20210110:0810;4,7;0,0047;14,55;3,94;0,21;0,55;0
20210110:0910;66,09;0,06609;89,62;10,13;0,65;0,41;0
20210110:1010;45,94;0,04594;67,29;14,55;1,19;0,62;0
20210110:1110;68,68;0,06868;93,43;16,83;1,73;0,83;0
20210110:1210;52,76;0,05276;75,48;16,77;2,3;1,1;0
20210110:1310;36,5;0,0365;56,38;14,35;2,25;1,1;0
20210110:1410;131,86;0,13186;162,42;9,83;2,19;1,1;0
20210110:1510;137,73;0,13773;172,69;3,55;2,09;1,17;0
20210110:1610;0;0;0;0;1,65;1,17;0
20210110:1710;0;0;0;0;1,21;1,24;0
20210110:1810;0;0;0;0;0,43;1,38;0
20210110:1910;0;0;0;0;-0,06;1,79;0
20210110:2010;0;0;0;0;-0,38;1,79;0
20210110:2110;0;0;0;0;-0,57;1,79;0
20210110:2210;0;0;0;0;-0,02;1,93;0
20210110:2310;0;0;0;0;0,15;2;0
20210111:0010;0;0;0;0;0,09;1,86;0
20210111:0110;0;0;0;0;-0,05;1,93;0
20210111:0210;0;0;0;0;-0,02;1,93;0
20210111:0310;0;0;0;0;-0,23;1,93;0
20210111:0410;0;0;0;0;-0,25;2;0
20210111:0510;0;0;0;0;-0,19;2,14;0
20210111:0610;0;0;0;0;-0,15;2,21;0
20210111:0710;0;0;0;0;-0,49;2,21;0
20210111:0810;70,63;0,07063;94,47;4,03;-0,65;2,34;0
20210111:0910;17,65;0,01765;32,74;10,23;0,03;2,34;0
20210111:1010;34,56;0,03456;53,65;14,67;0,55;2,62;0
20210111:1110;112,27;0,11227;140,45;16,98;1,26;3,24;0
20210111:1210;42,02;0,04202;62,75;16,93;1,91;3,24;0
20210111:1310;68,21;0,06821;92,65;14,52;2,42;3,38;0
20210111:1410;8,17;0,00817;20,01;10;2,64;3,86;0
20210111:1510;0;0;2,73;3,73;2,87;4,14;0
20210111:1610;0;0;0;0;2,88;4,07;0
20210111:1710;0;0;0;0;2,99;4,34;0
20210111:1810;0;0;0;0;3,08;4,41;0
20210111:1910;0;0;0;0;3,1;4,62;0
20210111:2010;0;0;0;0;3,55;4,9;0
20210111:2110;0;0;0;0;4,05;5,03;0
20210111:2210;0;0;0;0;4,28;5,17;0
20210111:2310;0;0;0;0;4,4;5,38;0
20210112:0010;0;0;0;0;4,39;5,52;0
20210112:0110;0;0;0;0;4,48;5,66;0
20210112:0210;0;0;0;0;4,53;5,93;0
20210112:0310;0;0;0;0;4,66;6,28;0
20210112:0410;0;0;0;0;4,85;6,41;0
20210112:0510;0;0;0;0;5,08;6,41;0
20210112:0610;0;0;0;0;5,28;6,41;0
20210112:0710;0;0;0;0;5,65;6,34;0
20210112:0810;0;0;4,55;4,12;5,82;6,14;0
20210112:0910;12,43;0,01243;26,37;10,35;6,12;5,86;0
20210112:1010;36,58;0,03658;57,29;14,81;6,59;5,31;0
20210112:1110;64,17;0,06417;89,71;17,13;6,78;5,17;0
20210112:1210;27;0,027;45,47;17,09;6,35;5,24;0
20210112:1310;105,31;0,10531;134,73;14,7;5,58;5,03;0
20210112:1410;72,24;0,07224;97,67;10,18;4,93;4,62;0
20210112:1510;130,17;0,13017;164,4;3,91;4,46;4,9;0
20210112:1610;0;0;0;0;3,66;4,76;0
20210112:1710;0;0;0;0;2,97;4,55;0
20210112:1810;0;0;0;0;2,55;4,34;0
20210112:1910;0;0;0;0;2,25;4,07;0
20210112:2010;0;0;0;0;2,08;3,72;0
20210112:2110;0;0;0;0;1,74;3,38;0
20210112:2210;0;0;0;0;1,17;3,1;0
20210112:2310;0;0;0;0;0,56;2,97;0
20210113:0010;0;0;0;0;0,15;2,9;0
20210113:0110;0;0;0;0;-0,16;2,97;0
20210113:0210;0;0;0;0;-0,29;3,1;0
20210113:0310;0;0;0;0;-0,09;3,17;0
20210113:0410;0;0;0;0;0,23;3,52;0
20210113:0510;0;0;0;0;0,44;3,86;0
20210113:0610;0;0;0;0;0,6;4;0
20210113:0710;0;0;0;0;0,86;4,34;0
20210113:0810;137,02;0,13702;168,05;4,22;1,46;4,55;0
20210113:0910;436,67;0,43667;491,51;10,47;1,79;4,69;0
20210113:1010;175,92;0,17592;208,33;14,95;2,09;4,76;0
20210113:1110;109,9;0,1099;138,37;17,29;2,55;5,24;0
20210113:1210;31,92;0,03192;50,93;17,27;3,12;5,38;0
20210113:1310;244,92;0,24492;283,31;14,88;3,34;5,1;0
20210113:1410;127,52;0,12752;157,52;10,37;3,56;4,83;0
20210113:1510;169,85;0,16985;207,71;4,1;3,2;4,14;0
20210113:1610;0;0;0;0;2,62;3,79;0
20210113:1710;0;0;0;0;2,65;3,93;0
20210113:1810;0;0;0;0;2,35;4,14;0
20210113:1910;0;0;0;0;1,93;3,79;0
20210113:2010;0;0;0;0;2,07;4,28;0
20210113:2110;0;0;0;0;1,95;4,48;0
20210113:2210;0;0;0;0;2,25;4,62;0
20210113:2310;0;0;0;0;2,26;4,55;0
20210114:0010;0;0;0;0;2,37;4,34;0
20210114:0110;0;0;0;0;2,11;4;0
20210114:0210;0;0;0;0;1,81;3,52;0
20210114:0310;0;0;0;0;1,48;3,1;0
20210114:0410;0;0;0;0;1,18;2,55;0
20210114:0510;0;0;0;0;0,66;2,07;0
20210114:0610;0;0;0;0;0,2;1,72;0
20210114:0710;0;0;0;0;0,04;1,31;0
20210114:0810;35;0,035;53,95;4,33;-0,46;1,1;0
20210114:0910;137,39;0,13739;166,85;10,59;0;0,83;0
20210114:1010;50,82;0,05082;72,75;15,09;0,54;0,83;0
20210114:1110;144,96;0,14496;176,15;17,45;0,96;1,31;0
20210114:1210;147,74;0,14774;179,12;17,45;1,56;2,28;0
20210114:1310;237,14;0,23714;275,04;15,07;1,92;2,69;0
20210114:1410;50,64;0,05064;72,55;10,56;2,02;2,83;0
20210114:1510;11,67;0,01167;24,99;4,29;1,74;2,48;0
20210114:1610;0;0;0;0;1,24;2,62;0
20210114:1710;0;0;0;0;0,81;2,83;0
20210114:1810;0;0;0;0;0,59;2,9;0
20210114:1910;0;0;0;0;0,42;3,1;0
20210114:2010;0;0;0;0;0,04;2,97;0
20210114:2110;0;0;0;0;-0,33;2,9;0
20210114:2210;0;0;0;0;-0,6;2,83;0
20210114:2310;0;0;0;0;-1,07;2,76;0
20210115:0010;0;0;0;0;-1,52;2,76;0
20210115:0110;0;0;0;0;-1,87;2,62;0
20210115:0210;0;0;0;0;-2,14;2,48;0
20210115:0310;0;0;0;0;-2,39;2,34;0
20210115:0410;0;0;0;0;-2,59;2,21;0
20210115:0510;0;0;0;0;-2,81;2,07;0
20210115:0610;0;0;0;0;-2,86;1,93;0
20210115:0710;0;0;0;0;-1,83;2;0
20210115:0810;6,51;0,00651;17,28;4,45;-1,39;1,86;0
20210115:0910;254,56;0,25456;291,85;10,73;-0,36;2;0
20210115:1010;50,93;0,05093;72,75;15,25;0,53;2,55;0
20210115:1110;39,87;0,03987;60,02;17,63;0,99;2,76;0
20210115:1210;214,54;0,21454;250,21;17,63;1,36;2,97;0
20210115:1310;98,46;0,09846;125,6;15,27;1,63;3,17;0
20210115:1410;23,2;0,0232;40,01;10,76;1,81;3,31;0
