time;PV Erzeugung [W];PV Erzeugung [kW];G(i);H_sun;T2m;WS10m;Int
20210714:0910;80,77;0,08077;114,58;49,17;17,78;0,62;0
20210714:1010;56,14;0,05614;84,57;56,22;18,03;1,03;0
20210714:1110;81,4;0,0814;115,49;60,3;18,17;0,76;0
20210714:1210;77,69;0,07769;110,94;60,05;18,27;1,24;0
20210714:1310;54,67;0,05467;82,75;55,57;18,27;1,86;0
20210714:1410;35,17;0,03517;58,2;48,29;18,08;2,83;0
20210714:1510;27,49;0,02749;48,2;39,56;17,89;3,59;0
20210714:1610;51,99;0,05199;79,12;30,23;17,77;4,34;0
20210714:1710;9,82;0,00982;23,64;20,81;17,82;4,9;0
20210714:1810;2,29;0,00229;11,01;11,67;18,04;4,97;0
20210714:1910;0;0;1,69;3,17;16,8;1,72;0
20210714:2010;0;0;0;0;16,79;1,52;0
20210714:2110;0;0;0;0;16,97;0,69;0
20210714:2210;0;0;0;0;16,97;1,24;0
20210714:2310;0;0;0;0;16,86;1,93;0
20210715:0010;0;0;0;0;16,72;1,93;0
20210715:0110;0;0;0;0;16,5;1,66;0
20210715:0210;0;0;0;0;16,25;1,45;0
20210715:0310;0;0;0;0;16,01;1,45;0
20210715:0410;0;0;2,54;3,92;15,93;1,31;0
20210715:0510;25,77;0,02577;45,72;12,51;16,2;1,03;0
20210715:0610;135,33;0,13533;187,34;21,69;16,68;1,17;0
20210715:0710;160,97;0,16097;209,17;31,13;16,57;1,66;0
20210715:0810;251,46;0,25146;318,84;40,42;17,62;1,1;0
20210715:0910;533,68;0,53368;693,26;49,03;19,14;0,21;0
20210715:1010;392,1;0,3921;499,17;56,07;20,24;1,31;0
20210715:1110;170,39;0,17039;224,62;60,15;21,09;1,72;0
20210715:1210;121,11;0,12111;165,51;59,91;21,94;1,79;0
20210715:1310;128,96;0,12896;175,51;55,44;22,47;1,66;0
20210715:1410;403,68;0,40368;518,79;48,18;22,75;1,45;0
20210715:1510;304,34;0,30434;393,71;39,46;22,98;1,1;0
20210715:1610;154,73;0,15473;208,11;30,13;22,57;1,17;0
20210715:1710;93,99;0,09399;135,26;20,71;22,59;1,93;0
20210715:1810;4,48;0,00448;15,24;11,57;21,66;2,34;0
20210715:1910;0;0;1,69;3,06;19,02;2,28;0
20210715:2010;0;0;0;0;18,51;2,28;0
20210715:2110;0;0;0;0;17,9;2,83;0
20210715:2210;0;0;0;0;17,5;2,48;0
20210715:2310;0;0;0;0;17,18;2,76;0
20210716:0010;0;0;0;0;16,85;2,69;0
20210716:0110;0;0;0;0;16,47;2,9;0
20210716:0210;0;0;0;0;16,11;3,03;0
20210716:0310;0;0;0;0;15,78;3,1;0
20210716:0410;0;0;2,54;3,77;15,53;2,69;0
20210716:0510;7,78;0,00778;20,32;12,37;15,4;2,55;0
20210716:0610;23,67;0,02367;42,74;21,56;15,34;2,83;0
20210716:0710;73,59;0,07359;104,58;30,99;15,69;2,9;0
20210716:0810;145,54;0,14554;189,36;40,28;16,05;3,52;0
20210716:0910;103,8;0,1038;140,95;48,89;17,02;3,86;0
20210716:1010;124,5;0,1245;165,51;55,92;17,24;3,79;0
20210716:1110;296,98;0,29698;370,3;59,99;17,62;3,59;0
20210716:1210;275,07;0,27507;345,47;59,75;18,55;3,66;0
20210716:1310;128,91;0,12891;171,87;55,31;18,74;3,59;0
20210716:1410;103,46;0,10346;141,86;48,06;19,12;3,59;0
20210716:1510;152,41;0,15241;200,42;39,35;19,54;3,52;0
20210716:1610;163,87;0,16387;215,03;30,03;19,4;3,24;0
20210716:1710;86,1;0,0861;122,65;20,61;19,21;2,62;0
20210716:1810;22,26;0,02226;41,48;11,46;19,08;2,21;0
20210716:1910;0;0;3,39;2,94;17,33;2,21;0
20210716:2010;0;0;0;0;17,11;2,21;0
20210716:2110;0;0;0;0;16,97;1,93;0
20210716:2210;0;0;0;0;16,83;1,66;0
20210716:2310;0;0;0;0;16,78;1,59;0
20210717:0010;0;0;0;0;16,67;1,79;0
20210717:0110;0;0;0;0;16,6;1,93;0
20210717:0210;0;0;0;0;16,34;2;0
20210717:0310;0;0;0;0;16,05;1,93;0
20210717:0410;0;0;2,54;3,63;15,57;1,86;0
20210717:0510;12,26;0,01226;27,09;12,23;15,73;2,41;0
20210717:0610;97,95;0,09795;135,13;21,42;16,3;3,1;0
20210717:0710;113,91;0,11391;152,87;30,86;16,82;3,38;0
20210717:0810;187,76;0,18776;240,53;40,14;17,88;3,59;0
20210717:0910;225,61;0,22561;286,64;48,74;18,97;3,72;0
20210717:1010;289;0,289;365,21;55,76;20,75;4;0
20210717:1110;602,24;0,60224;763,37;59,82;21,65;3,86;0
20210717:1210;763,01;0,76301;984,7;59,59;22,72;4;0
20210717:1310;702,46;0,70246;901,14;55,17;23,24;4;0
20210717:1410;603,88;0,60388;767,9;47,94;23,63;3,93;0
20210717:1510;479,8;0,4798;610,01;39,24;24,17;3,93;0
20210717:1610;280,06;0,28006;372,15;29,92;24,08;4,07;0
20210717:1710;97,09;0,09709;167,04;20,5;23,56;3,79;0
20210717:1810;37,8;0,0378;62,65;11,35;22,51;3,59;0
20210717:1910;3,12;0,00312;12,7;2,82;20,77;3,31;0
20210717:2010;0;0;0;0;19,32;3,31;0
20210717:2110;0;0;0;0;18,16;3,24;0
20210717:2210;0;0;0;0;17,17;3,1;0
20210717:2310;0;0;0;0;16,28;2,83;0
20210718:0010;0;0;0;0;15,45;2,41;0
20210718:0110;0;0;0;0;14,72;2,14;0
20210718:0210;0;0;0;0;14,02;2;0
20210718:0310;0;0;0;0;13,48;1,86;0
20210718:0410;4,74;0,00474;15,24;3,48;13,02;1,79;0
20210718:0510;41,52;0,04152;65,19;12,09;13,71;1,66;0
20210718:0610;149,65;0,14965;219,72;21,28;15,49;2,14;0
20210718:0710;345,29;0,34529;439,03;30,71;17,6;1,93;0
20210718:0810;516,35;0,51635;650,17;40;18,95;1,93;0
20210718:0910;643,53;0,64353;823,76;48,59;20,13;2,14;0
20210718:1010;724,29;0,72429;938,1;55,59;21,48;2,76;0
20210718:1110;789,18;0,78918;1032,92;59,65;22,72;3,24;0
20210718:1210;791,66;0,79166;1040,2;59,43;23,41;3,24;0
20210718:1310;716,6;0,7166;926,8;55,02;24,3;3,93;0
20210718:1410;611,45;0,61145;780,71;47,81;24,61;4,14;0
20210718:1510;469,71;0,46971;598,64;39,13;25,05;4,21;0
20210718:1610;282,65;0,28265;377,49;29,81;24,98;3,93;0
20210718:1710;96,77;0,09677;167,04;20,38;24,49;3,1;0
20210718:1810;38,22;0,03822;63,49;11,23;23,63;2,9;0
20210718:1910;2,23;0,00223;11,01;2,69;21,77;2,76;0
20210718:2010;0;0;0;0;20,23;2,69;0
20210718:2110;0;0;0;0;19,02;2,83;0
20210718:2210;0;0;0;0;18,02;2,48;0
20210718:2310;0;0;0;0;17,1;2,21;0
20210719:0010;0;0;0;0;16,3;2;0
20210719:0110;0;0;0;0;15,55;1,86;0
20210719:0210;0;0;0;0;14,79;1,66;0
20210719:0310;0;0;0;0;13,97;1,52;0
20210719:0410;1,95;0,00195;10,16;3,32;13,28;1,52;0
20210719:0510;43,48;0,04348;67,73;11,94;14,09;1,38;0
20210719:0610;134,86;0,13486;186,27;21,14;15,79;2,14;0
20210719:0710;152,48;0,15248;199,12;30,57;17,06;2,28;0
20210719:0810;154,1;0,1541;201,64;39,85;18,21;2,62;0
20210719:0910;253,74;0,25374;321,45;48,43;19,06;2,69;0
20210719:1010;263,57;0,26357;334,7;55,43;19,82;2,76;0
20210719:1110;219,59;0,21959;282,11;59,47;20,27;2,97;0
20210719:1210;222,81;0,22281;286,08;59,26;20,51;3,17;0
20210719:1310;323,8;0,3238;408,51;54,87;20,48;3,1;0
20210719:1410;328,46;0,32846;413,88;47,68;20,38;2,9;0
20210719:1510;281,45;0,28145;356,17;39;20,18;2,97;0
20210719:1610;205,39;0,20539;267,23;29,69;19,82;2,76;0
20210719:1710;109,78;0,10978;159,21;20,26;19,72;2,41;0
20210719:1810;40,35;0,04035;65,19;11,11;19,36;1,72;0
20210719:1910;0,38;0,00038;6,77;2,56;18,25;1,79;0
20210719:2010;0;0;0;0;17,63;1,31;0
20210719:2110;0;0;0;0;16,78;1,17;0
20210719:2210;0;0;0;0;15,83;1,1;0
20210719:2310;0;0;0;0;15,57;0,97;0
20210720:0010;0;0;0;0;15,45;0,83;0
20210720:0110;0;0;0;0;15,11;0,76;0
20210720:0210;0;0;0;0;14,15;0,9;0
20210720:0310;0;0;0;0;12,9;1,17;0
20210720:0410;0;0;4,23;3,16;12,14;1,24;0
20210720:0510;45,85;0,04585;70,27;11,79;12,6;0,97;0
20210720:0610;149,99;0,14999;216,49;20,99;14,67;1,03;0
20210720:0710;336,7;0,3367;425,19;30,43;15,72;1,52;0
20210720:0810;476,29;0,47629;593,61;39,7;16,9;1,79;0
20210720:0910;512,77;0,51277;643,24;48,27;17,32;1,72;0
20210720:1010;547,83;0,54783;691,23;55,25;17,73;1,86;0
20210720:1110;664,3;0,6643;852;59,29;18,18;1,93;0
20210720:1210;749,9;0,7499;973,57;59,08;18,48;2;0
20210720:1310;704,89;0,70489;909,59;54,71;19,07;2;0
20210720:1410;618,05;0,61805;785,57;47,54;19,17;2,07;0
20210720:1510;484,02;0,48402;609,91;38,87;19,32;2,14;0
20210720:1610;295,7;0,2957;387,07;29,57;19,13;2,21;0
20210720:1710;99,8;0,0998;168,63;20,14;18,93;2,14;0
20210720:1810;38,53;0,03853;62,65;10,97;18,51;1,86;0
20210720:1910;1,47;0,00147;9,31;2,42;18,25;2;0
20210720:2010;0;0;0;0;16,92;2,07;0
20210720:2110;0;0;0;0;15,79;2;0
20210720:2210;0;0;0;0;14,73;1,86;0
20210720:2310;0;0;0;0;13,74;1,79;0
20210721:0010;0;0;0;0;12,81;1,79;0
20210721:0110;0;0;0;0;12,17;1,72;0
20210721:0210;0;0;0;0;11,92;1,59;0
20210721:0310;0;0;0;0;12,05;1,45;0
20210721:0410;0,77;0,00077;7,62;3;11,98;1,24;0
20210721:0510;42,35;0,04235;66,03;11,64;12,86;0,97;0
20210721:0610;149,23;0,14923;221,86;20,84;15;0,83;0
20210721:0710;346,21;0,34621;441,93;30,28;16,7;0,97;0
20210721:0810;508,24;0,50824;645,59;39,55;18,48;1,03;0
20210721:0910;639,14;0,63914;827,46;48,11;19,77;1,31;0
20210721:1010;715,38;0,71538;942,9;55,07;20,63;1,45;0
20210721:1110;745,71;0,74571;996,34;59,1;21,43;1,38;0
20210721:1210;722,06;0,72206;968,52;58,9;22,06;1,17;0
20210721:1310;0;0;0;0;22,4;0,97;0
20210721:1410;539,85;0,53985;702,66;47,39;22,85;1,24;0
20210721:1510;421,85;0,42185;541,91;38,74;22,74;1,66;0
20210721:1610;284,03;0,28403;377,68;29,43;22,49;2,14;0
20210721:1710;103,15;0,10315;167,89;20,01;21,76;2,07;0
20210721:1810;38,72;0,03872;63,49;10,84;20,94;2;0
20210721:1910;1,07;0,00107;8,47;2,27;19,71;2,07;0
20210721:2010;0;0;0;0;18,75;1,93;0
20210721:2110;0;0;0;0;17,55;1,72;0
20210721:2210;0;0;0;0;16,39;1,31;0
20210721:2310;0;0;0;0;16,69;0,97;0
20210722:0010;0;0;0;0;16,58;0,69;0
20210722:0110;0;0;0;0;16,21;0,48;0
20210722:0210;0;0;0;0;15,71;0,48;0
20210722:0310;0;0;0;0;15,29;0,62;0
20210722:0410;0;0;3,39;2,84;14,9;0,62;0
20210722:0510;42,53;0,04253;66,88;11,48;15,06;0,48;0
20210722:0610;144,05;0,14405;214,36;20,69;16,32;0,34;0
20210722:0710;247,14;0,24714;320,03;30,12;19,14;0,41;0
20210722:0810;424,78;0,42478;544,31;39,39;20,3;0,62;0
20210722:0910;560,92;0,56092;731,53;47,94;21,43;0,83;0
20210722:1010;628,96;0,62896;836,12;54,89;22,12;0,76;0
20210722:1110;449,79;0,44979;583,96;58,9;22,59;0,97;0
20210722:1210;315,69;0,31569;408,14;58,71;22,87;1,24;0
20210722:1310;543,37;0,54337;706,07;54,38;22,94;1,59;0
20210722:1410;384,54;0,38454;493,94;47,24;23,23;1,72;0
20210722:1510;293,12;0,29312;377,96;38,6;23,17;1,79;0
20210722:1610;229,59;0,22959;303,21;29,3;22,6;2,07;0
20210722:1710;107,86;0,10786;163,13;19,87;21,93;2,21;0
20210722:1810;37,36;0,03736;61,8;10,69;21,12;1,93;0
20210722:1910;0;0;4,23;2,12;20,52;2,14;0
20210722:2010;0;0;0;0;19,25;2,21;0
20210722:2110;0;0;0;0;18,31;2;0
20210722:2210;0;0;0;0;17,37;2;0
20210722:2310;0;0;0;0;16,48;1,93;0
20210723:0010;0;0;0;0;15,78;1,93;0
20210723:0110;0;0;0;0;15,04;1,79;0
20210723:0210;0;0;0;0;14,21;1,59;0
20210723:0310;0;0;0;0;13,54;1,38;0
20210723:0410;0;0;3,39;2,67;12,79;1,38;0
20210723:0510;42,97;0,04297;66,88;11,32;13,19;1,1;0
20210723:0610;145,56;0,14556;214,58;20,53;15,22;1,17;0
20210723:0710;334,55;0,33455;426,69;29,97;17,17;1,24;0
20210723:0810;501,01;0,50101;633,85;39,23;18,76;1,38;0
20210723:0910;634,81;0,63481;818,77;47,77;20,1;1,59;0
20210723:1010;706,96;0,70696;938,04;54,71;21,32;1,24;0
20210723:1110;727,89;0,72789;985,85;58,7;22,01;0,83;0
20210723:1210;737,77;0,73777;1008,17;58,51;22,9;0,76;0
20210723:1310;682,22;0,68222;917,64;54,2;23,26;0,9;0
20210723:1410;554,92;0,55492;732,01;47,08;23,79;0,83;0
20210723:1510;453,73;0,45373;593,72;38,45;23,95;0,76;0
20210723:1610;276,82;0,27682;374,38;29,16;24,06;0,83;0
20210723:1710;95,6;0,0956;165,31;19,73;23,93;1,24;0
20210723:1810;36,31;0,03631;60,95;10,55;23,14;1,59;0
20210723:1910;0,36;0,00036;6,77;1,96;21,28;2,48;0
20210723:2010;0;0;0;0;19,86;2,97;0
20210723:2110;0;0;0;0;19,01;2,69;0
20210723:2210;0;0;0;0;18,25;2,21;0
20210723:2310;0;0;0;0;17,46;2,14;0
20210724:0010;0;0;0;0;16,99;2,41;0
20210724:0110;0;0;0;0;16,82;2,69;0
20210724:0210;0;0;0;0;16,65;2,55;0
20210724:0310;0;0;0;0;16,17;2,21;0
20210724:0410;0;0;1,69;2,5;15,67;2,14;0
20210724:0510;16,39;0,01639;33,02;11,16;16,19;2,14;0
20210724:0610;40,89;0,04089;65,48;20,38;17,94;2;0
20210724:0710;108,77;0,10877;149,29;29,81;19,99;1,72;0
20210724:0810;49,54;0,04954;77,3;39,07;21,23;2,34;0
20210724:0910;66,25;0,06625;98,21;47,6;21,62;2,62;0
20210724:1010;69,87;0,06987;102,76;54,51;21,74;2,34;0
20210724:1110;42,86;0,04286;69,11;58,5;22,14;2;0
20210724:1210;58,04;0,05804;88,21;58,31;21,76;1,52;0
20210724:1310;55,45;0,05545;84,57;54,02;20,59;1,38;0
20210724:1410;49,16;0,04916;76,39;46,92;19,88;2,34;0
20210724:1510;54,37;0,05437;82,75;38,3;19,52;2,48;0
20210724:1610;135,54;0,13554;181,23;29,01;19,73;2,69;0
20210724:1710;104,47;0,10447;151,86;19,58;20,01;2,48;0
20210724:1810;31,05;0,03105;53,34;10,39;19,99;2,21;0
20210724:1910;0;0;2,54;1,8;19,61;1,93;0
20210724:2010;0;0;0;0;18,96;2,48;0
20210724:2110;0;0;0;0;18,41;2,07;0
20210724:2210;0;0;0;0;17,91;1,86;0
20210724:2310;0;0;0;0;17,57;1,72;0
20210725:0010;0;0;0;0;17,17;1,86;0
20210725:0110;0;0;0;0;16,53;2,14;0
20210725:0210;0;0;0;0;16,4;1,86;0
20210725:0310;0;0;0;0;16,06;1,17;0
20210725:0410;0;0;3,39;2,33;15,48;1,86;0
20210725:0510;36,96;0,03696;60,11;10,99;16,27;1,79;0
20210725:0610;140,71;0,14071;210,47;20,21;16,97;1,86;0
20210725:0710;320,93;0,32093;407,94;29,65;17,59;1,93;0
20210725:0810;500,34;0,50034;629,54;38,9;18,98;1,86;0
20210725:0910;613,92;0,61392;785,61;47,42;20,77;2,14;0
20210725:1010;336,77;0,33677;429,32;54,32;22,34;2,55;0
20210725:1110;346,92;0,34692;443,89;58,29;23,56;2,97;0
20210725:1210;753,06;0,75306;989,17;58,1;23,68;2,97;0
20210725:1310;534,64;0,53464;684,45;53,83;23,86;3,24;0
20210725:1410;84;0,084;120,95;46,75;23,66;3,03;0
20210725:1510;413,45;0,41345;529,39;38,14;23,63;2,41;0
20210725:1610;271,86;0,27186;363,57;28,85;23,72;2,21;0
20210725:1710;92,08;0,09208;163,13;19,42;23,32;2;0
20210725:1810;30,05;0,03005;52,49;10,23;22,17;1,93;0
20210725:1910;0;0;0,85;1,63;20,12;2;0
20210725:2010;0;0;0;0;18,97;1,86;0
20210725:2110;0;0;0;0;18,45;1,79;0
20210725:2210;0;0;0;0;17,75;2;0
20210725:2310;0;0;0;0;17,17;2,21;0
20210726:0010;0;0;0;0;16,78;2,21;0
20210726:0110;0;0;0;0;16,54;2,28;0
20210726:0210;0;0;0;0;16,35;2,41;0
20210726:0310;0;0;0;0;16,24;2,48;0
20210726:0410;0;0;0,85;2,15;16,05;2,34;0
20210726:0510;34,29;0,03429;56,72;10,82;16,32;2,14;0
20210726:0610;109,43;0,10943;152,49;20,05;17,6;1,93;0
20210726:0710;323,96;0,32396;413,14;29,49;19,27;2,76;0
20210726:0810;430,18;0,43018;535,45;38,73;20,03;3,66;0
20210726:0910;412,59;0,41259;515,53;47,24;20,56;3,66;0
20210726:1010;278;0,278;353,12;54,12;21,32;3,72;0
20210726:1110;281,96;0,28196;359,42;58,07;21,98;3,59;0
20210726:1210;604,87;0,60487;772,96;57,89;22,55;3,45;0
20210726:1310;560,15;0,56015;714,95;53,63;23,06;3,31;0
20210726:1410;381,25;0,38125;485,14;46,57;23,29;2,97;0
20210726:1510;377,63;0,37763;478,63;37,97;22,61;3,24;0
20210726:1610;240,17;0,24017;313,64;28,69;21,28;3,66;0
20210726:1710;17,72;0,01772;35,47;19,26;20,81;2,48;0
20210726:1810;25,22;0,02522;45,72;10,06;20,44;1,66;0
20210726:1910;0;0;3,39;1,45;19,63;2,14;0
20210726:2010;0;0;0;0;18,67;2,14;0
20210726:2110;0;0;0;0;17,79;2,34;0
20210726:2210;0;0;0;0;17,09;2,07;0
20210726:2310;0;0;0;0;16,58;2,14;0
20210727:0010;0;0;0;0;16,37;1,93;0
20210727:0110;0;0;0;0;16,11;1,86;0
20210727:0210;0;0;0;0;15,68;2;0
20210727:0310;0;0;0;0;15,65;2;0
20210727:0410;0;0;0,85;1,97;15,68;1,86;0
20210727:0510;30,38;0,03038;51,64;10,65;15,9;1,66;0
20210727:0610;48,48;0,04848;74,57;19,88;16,6;2;0
20210727:0710;174,3;0,1743;226,36;29,32;18,3;2,48;0
20210727:0810;369,66;0,36966;462,19;38,56;19,33;2,62;0
20210727:0910;288,3;0,2883;364,83;47,05;20,7;3,17;0
20210727:1010;177,03;0,17703;232,27;53,92;22,02;3,66;0
20210727:1110;607,51;0,60751;777,2;57,85;22,44;3,31;0
20210727:1210;338,24;0,33824;430,16;57,67;22,35;3,1;0
20210727:1310;255,17;0,25517;323,36;53,43;20,34;4,41;0
20210727:1410;88,81;0,08881;124,59;46,38;19,13;2,21;0
20210727:1510;46,33;0,04633;72,75;37,8;19,51;2,14;0
20210727:1610;136,22;0,13622;182,25;28,53;19,82;2,48;0
20210727:1710;71,51;0,07151;104,46;19,09;19,71;3,03;0
20210727:1810;15,52;0,01552;32,17;9,89;19,36;2,76;0
20210727:1910;0;0;0;0;18,71;2,76;0
20210727:2010;0;0;0;0;17,92;3,17;0
20210727:2110;0;0;0;0;17,29;2,83;0
20210727:2210;0;0;0;0;16,74;2,76;0
20210727:2310;0;0;0;0;16,2;3,03;0
20210728:0010;0;0;0;0;15,63;3,17;0
20210728:0110;0;0;0;0;15,39;2,97;0
20210728:0210;0;0;0;0;15,59;2,69;0
20210728:0310;0;0;0;0;15,68;2,41;0
20210728:0410;0;0;0,85;1,79;15,37;2,28;0
20210728:0510;29,13;0,02913;49,95;10,48;15,63;2,28;0
20210728:0610;97,92;0,09792;136,61;19,72;16,68;2,21;0
20210728:0710;225,52;0,22552;287,39;29,15;17,64;2,69;0
20210728:0810;68,21;0,06821;99,12;38,39;18,05;2,83;0
20210728:0910;96,8;0,0968;133,68;46,86;18,62;3,31;0
20210728:1010;469,54;0,46954;584,77;53,71;19,82;3,93;0
20210728:1110;200,57;0,20057;259,06;57,63;21,09;4,48;0
20210728:1210;415,95;0,41595;520,47;57,45;21,51;4,83;0
20210728:1310;432,23;0,43223;540,02;53,22;21,77;5,1;0
20210728:1410;424,5;0,4245;529,65;46,2;21,89;5,17;0
20210728:1510;436,92;0,43692;544,21;37,63;21,47;5,24;0
20210728:1610;148,01;0,14801;196,62;28,36;20,82;4,69;0
20210728:1710;87,21;0,08721;125,38;18,92;20,14;3,93;0
20210728:1810;31,17;0,03117;53,34;9,72;19,43;3,52;0
20210728:1910;0;0;0;0;17,18;2,83;0
20210728:2010;0;0;0;0;17,17;2,55;0
20210728:2110;0;0;0;0;16,63;2,76;0
20210728:2210;0;0;0;0;16,56;3,1;0
20210728:2310;0;0;0;0;16,44;3,17;0
20210729:0010;0;0;0;0;16,2;3,17;0
20210729:0110;0;0;0;0;16,08;3,24;0
20210729:0210;0;0;0;0;15,68;3,31;0
20210729:0310;0;0;0;0;15,56;3,38;0
20210729:0410;0;0;0,85;1,6;15,27;3,52;0
20210729:0510;24,67;0,02467;44,02;10,3;15,18;3,66;0
20210729:0610;105,08;0,10508;145,05;19,54;15,59;3,93;0
20210729:0710;246,5;0,2465;309,01;28,98;16,41;4,97;0
20210729:0810;299,07;0,29907;368,59;38,21;16,85;4,76;0
20210729:0910;274,8;0,2748;341,44;46,67;17,66;5,17;0
20210729:1010;615,59;0,61559;756,17;53,5;18,52;5,93;0
20210729:1110;288,74;0,28874;359,75;57,4;18,99;6,21;0
20210729:1210;566,9;0,5669;698,16;57,22;19,43;6,21;0
20210729:1310;485,8;0,4858;599,04;53,01;19,2;5,17;0
20210729:1410;606,28;0,60628;745,52;46;19,86;6,14;0
20210729:1510;374,33;0,37433;463,99;37,44;19,61;4,97;0
20210729:1610;138,6;0,1386;184,16;28,18;19,53;4,62;0
20210729:1710;102,23;0,10223;156,46;18,75;19,13;3,45;0
20210729:1810;24,22;0,02422;44,02;9,53;18,6;3,03;0
20210729:1910;0;0;0;0;17,61;2,21;0
20210729:2010;0;0;0;0;16,69;1,93;0
20210729:2110;0;0;0;0;15,77;2,07;0
20210729:2210;0;0;0;0;15,06;2,21;0
20210729:2310;0;0;0;0;14,38;2,28;0
20210730:0010;0;0;0;0;13,86;2,21;0
20210730:0110;0;0;0;0;13,38;2,14;0
20210730:0210;0;0;0;0;13,07;2,14;0
20210730:0310;0;0;0;0;13,14;2,21;0
20210730:0410;0;0;0,85;1,41;13,05;2,34;0
20210730:0510;30,13;0,03013;50,8;10,12;13,38;2,34;0
20210730:0610;138,98;0,13898;206,77;19,37;14,99;2,34;0
20210730:0710;317,27;0,31727;399,12;28,81;16,68;2,97;0
20210730:0810;511,17;0,51117;631,95;38,03;18,39;3,52;0
20210730:0910;570,17;0,57017;713,57;46,48;19,96;3,52;0
20210730:1010;590,16;0,59016;746,8;53,28;21,51;3,66;0
20210730:1110;687,61;0,68761;877,93;57,16;22,72;4,41;0
20210730:1210;769,08;0,76908;991,82;56,98;23,42;4,48;0
20210730:1310;466,44;0,46644;590,93;52,79;23,71;4,21;0
20210730:1410;216,35;0,21635;280,55;45,8;23,61;4,97;0
20210730:1510;166,86;0,16686;219,75;37,26;22,27;4,48;0
20210730:1610;104,99;0,10499;145,4;28;21,71;3,66;0
20210730:1710;100,36;0,10036;152,62;18,56;21,23;3,31;0
20210730:1810;27,8;0,0278;49,1;9,34;20,45;4,14;0
20210730:1910;0;0;0;0;19,29;4,07;0
20210730:2010;0;0;0;0;18,33;3,93;0
20210730:2110;0;0;0;0;17,55;3,72;0
20210730:2210;0;0;0;0;16,91;3,86;0
20210730:2310;0;0;0;0;16,17;4,07;0
20210731:0010;0;0;0;0;15,75;4,34;0
20210731:0110;0;0;0;0;15,36;4,48;0
20210731:0210;0;0;0;0;15,26;4,62;0
20210731:0310;0;0;0;0;14,99;4,69;0
20210731:0410;0;0;0;0;14,86;4,83;0
20210731:0510;28,63;0,02863;49,1;9,94;14,92;4,9;0
20210731:0610;73,43;0,07343;104,6;19,2;15,27;4,69;0
20210731:0710;160,73;0,16073;206,53;28,63;16,1;6,41;0
20210731:0810;501,99;0,50199;607,28;37,85;16,97;6,21;0
20210731:0910;120,01;0,12001;160,05;46,28;17,74;6,48;0
20210731:1010;360,95;0,36095;443,54;53,06;18,39;6,41;0
20210731:1110;390,59;0,39059;481,59;56,93;19,19;6,07;0
20210731:1210;226,81;0,22681;287,62;56,74;19,54;5,79;0
20210731:1310;166,96;0,16696;217,34;52,56;20;5,79;0
20210731:1410;188,33;0,18833;242,53;45,59;19,9;5,45;0
20210731:1510;311,62;0,31162;388,51;37,06;19,36;4,62;0
20210731:1610;273,35;0,27335;354,79;27,81;19,45;4,28;0
20210731:1710;70,57;0,07057;102,68;18,37;18,24;3,38;0
20210731:1810;18,09;0,01809;35,56;9,15;17,64;2,76;0
20210731:1910;0;0;0;0;17,45;1,59;0
20210731:2010;0;0;0;0;16,46;1,66;0
20210731:2110;0;0;0;0;15,79;1,72;0
20210731:2210;0;0;0;0;15,05;1,72;0
20210731:2310;0;0;0;0;14,58;1,72;0
20210801:0010;0;0;0;0;13,98;1,93;0
20210801:0110;0;0;0;0;13,68;1,86;0
20210801:0210;0;0;0;0;13,41;1,79;0
20210801:0310;0;0;0;0;13,25;1,79;0
20210801:0410;0;0;0;0;13,33;1,72;0
20210801:0510;31,4;0,0314;52,49;9,76;13,67;1,79;0
20210801:0610;133,76;0,13376;191,72;19,02;14,46;2,9;0
20210801:0710;341,73;0,34173;428,31;28,45;15,09;2,41;0
20210801:0810;495,34;0,49534;607,64;37,66;15,99;2,97;0
20210801:0910;332,16;0,33216;410,64;46,08;17,09;3,38;0
20210801:1010;469,38;0,46938;580,72;52,84;17,96;3,52;0
20210801:1110;511,87;0,51187;637,18;56,68;18,48;3,38;0
20210801:1210;359,89;0,35989;449,39;56,49;19,28;3,52;0
20210801:1310;145,94;0,14594;192,79;52,33;19,5;3,38;0
20210801:1410;576,53;0,57653;723,09;45,38;20,08;3,31;0
20210801:1510;75,89;0,07589;108,22;36,86;18,09;4,62;0
20210801:1610;208,16;0,20816;266,99;27,62;16,98;3,86;0
20210801:1710;100,44;0,10044;151,93;18,18;16,95;2,9;0
20210801:1810;24,5;0,0245;44,02;8,95;16,36;2,62;0
20210801:1910;0;0;0;0;14,87;2,69;0
20210801:2010;0;0;0;0;14,41;2,21;0
20210801:2110;0;0;0;0;14,01;2,21;0
20210801:2210;0;0;0;0;13,83;2,14;0
20210801:2310;0;0;0;0;13,59;1,86;0
20210802:0010;0;0;0;0;13,89;1,79;0
20210802:0110;0;0;0;0;13,92;1,52;0
20210802:0210;0;0;0;0;13,69;1,52;0
20210802:0310;0;0;0;0;13,72;1,38;0
20210802:0410;0;0;0;0;13,63;1,24;0
20210802:0510;3,74;0,00374;13,55;9,57;13,64;1,38;0
20210802:0610;49,93;0,04993;75,48;18,84;13,67;1,66;0
20210802:0710;54,99;0,05499;81,84;28,27;14,07;0,83;0
20210802:0810;114,62;0,11462;152,78;37,47;14,36;1,17;0
20210802:0910;110,56;0,11056;148,23;45,87;14,75;1,24;0
20210802:1010;393,64;0,39364;487,97;52,61;14,94;1,31;0
