snapshot,grid_power
778,274.52417138105034
779,352.07747539353755
780,313.2503117600054
781,411.6028550589846
782,312.97338613056417
783,346.4573066835136
784,290.98467094812594
785,352.64629877064755
786,270.0699694615578
787,294.07671216232836
788,347.67882867206185
789,354.21737556102835
790,300.45161971990854
791,382.121276038847
792,485.3268195359184
793,371.19801288313346
794,316.15302863538545
795,352.4948484368647
796,567.7565834879963
797,365.67301483329106
798,389.51512590309267
799,392.3468316534161
800,358.78671565210266
801,314.2004366850136
802,366.5697851442618
803,317.98261607079775
804,269.6119556063512
805,259.8605365175228
806,230.58540517449825
807,225.66296868757684
808,162.76820808029316
809,172.22240999978573
810,154.59006636582495
811,182.26253395272082
812,115.09010136611457
813,137.90470846010538
814,151.8911349390232
815,181.09090335294854
816,216.13291556231405
817,273.79631298929417
818,228.99569978761494
819,268.98614581888694
820,231.62020104763243
821,304.6931343243788
822,320.4864963345171
823,476.20521989114053
824,282.17386157120256
825,358.696493406275
826,332.96944884727833
827,337.678084272338
828,343.258705280659
829,343.0218789221948
830,224.53675008484868
831,331.0647507055044
832,457.58167341271496
833,325.0699694615578
834,313.60944521252407
835,278.4399286047841
836,486.71246466466516
837,316.49356264121843
838,344.95719165427323
839,351.23593625208923
840,343.34330651816566
841,353.56835364196434
842,357.83221424109377
843,378.7902325641591
844,348.71857100939235
845,307.5183575422795
846,373.4379440056187
847,365.61477524248255
848,197.32414822668616
849,372.8114388923869
850,339.7808054705969
851,323.326183179875
852,134.18441368998594
853,364.9331987400461
854,387.2015239447172
855,430.0557465008727
856,114.23897658842014
857,315.51375198790544
858,215.89102576025556
859,375.1027400297442
860,132.69404393232955
861,370.37110399004007
862,298.3604051744983
863,385.9367098016299
864,-0.0
865,269.7379971248701
866,299.3071774356266
867,285.34960416574876
868,78.61293060204244
869,281.16376620655205
870,215.0912779829932
871,291.6486403034594
872,233.29510470489748
873,278.3924759490584
874,295.8633561536542
875,399.73233583333047
876,256.97843673812577
877,287.7974837557001
878,275.1737017908847
879,305.55116686609074
880,161.102650920096
881,276.4438847195553
882,299.9422442180038
883,337.8226849543239
884,294.6022187029412
885,331.29906081966874
886,381.9972521696254
887,390.810485348429
888,414.9588837474822
889,394.3392235282286
890,380.0149227543113
891,416.45464697268005
892,492.090946721412
893,369.0158128606863
894,335.0068695759364
895,340.3559652509147
896,515.8659447712545
897,406.09616937778054
898,367.34971277697275
899,304.8857021483134
900,268.76681994645924
901,170.9424428989264
902,182.29604193507117
903,126.55772663217935
904,272.51127059891513
905,255.91818549347258
906,243.05172457579738
907,279.90732104714016
908,94.90145547173195
909,173.0609977395145
910,136.54912815756677
911,148.7200574361188
912,191.99009689825584
913,322.3335312816945
914,255.74678257945982
915,345.59508910363684
916,304.223144226158
917,324.1098579281031
918,268.6345377999238
919,381.2130183290767
920,151.13869301818124
921,73.68055966587556
922,23.349554946812468
923,96.15997685765856
924,-0.0
925,-0.0
926,15.50180669988572
927,14.673205713583357
928,446.51943895151044
929,344.67975753406165
930,247.08632956863926
931,277.7209372241623
932,456.07197973278846
933,329.3482936881444
934,348.2075034142786
935,357.7916311613045
936,344.05054334608
937,268.5757317086711
938,369.5033713503853
939,314.0975368749515
940,357.7049974883102
941,347.8060454248455
942,377.3003712972731
943,350.9643794082313
944,222.21086192863123
945,410.5154440811144
946,412.9922015620638
947,396.97059954456483
948,154.3801237959324
949,334.330178050271
950,285.0528708052252
951,392.455448959514
952,77.55388902439998
953,288.95539736785656
954,472.2455158928826
955,442.9158710153401
956,51.66216347051807
957,384.65208792746023
958,304.7257587633504
959,447.43953390562
960,242.79579166249113
961,347.0026209552087
962,335.95801832306535
963,280.8376711462181
964,228.28385864296047
965,333.09421711622366
966,294.85297551613405
967,354.90383704023577
968,100.52088938784004
969,273.8142254783862
970,315.681068011666
971,353.6277768352114
972,231.12731894599128
973,337.42441984845277
974,285.5142357967177
975,373.34449012060423
976,263.18817949200854
977,320.3576573441237
978,304.00405830797894
979,321.8561049621132
980,310.0234844234567
981,181.53934788569325
982,388.441620697993
983,378.8281559331149
984,472.0946234137864
985,375.0699694615578
986,335.4115204489316
987,295.62046121598036
988,450.5634299095686
989,417.38845639670427
990,320.5456067776515
991,302.3743099571616
992,390.21113550055543
993,277.8197540442874
994,286.28976882446625
995,263.9700982868811
996,464.45559200348407
997,504.25840578914267
998,504.60481707132936
999,530.4559348634639
1000,584.9222527371691
1001,456.8936039145444
1002,465.3636186947233
1003,489.96216070529016
1004,114.93689954683498
1005,263.30557388452223
1006,231.50183123686384
1007,349.6897429048741
1008,241.7811962694458
1009,440.1200250985103
1010,470.3093494373327
1011,593.988037160562
1012,159.5795086440956
1013,368.41177323921283
1014,325.4131859100249
1015,490.84006108289583
1016,426.6197295073092
1017,478.157284096693
1018,480.37423928649196
1019,491.41030493144814
1020,531.6818946804581
1021,492.718952624997
1022,378.869780676403
1023,473.74377220801614
1024,645.6712462189398
1025,409.5846115558382
1026,328.0101012151232
1027,422.9792634069179
1028,489.9092058258191
1029,384.4926337792187
1030,430.2074399766957
1031,467.3517166301871
1032,375.60403767131595
1033,456.90428209342326
1034,406.3450373669994
1035,409.4050324885998
