snapshot,grid_power
175,660.8957811857435
176,282.9360399452172
177,300.50627995018704
178,274.858637789829
179,456.5768500135588
180,6.3203233684100155
181,379.0188012433423
182,455.51579998823604
183,469.57817991926163
184,-0.0
185,337.6793851804068
186,324.5093874670643
187,427.3307405306055
188,200.27171650909833
189,361.60385277454577
190,315.3860759582824
191,375.43569850151675
192,-0.0
193,286.0920820233437
194,303.7392501690166
195,335.5718727471544
196,273.8301339449356
197,307.5705428414515
198,318.4326963337039
199,374.343339950905
200,269.706519599672
201,326.61778210054814
202,311.0630646438397
203,383.51279782042326
204,324.1407433264959
205,344.00313382609096
206,388.3906055192152
207,450.101865377949
208,322.5098614817495
209,317.6012983122045
210,616.8643032262178
211,713.5279207992694
212,764.0220095147031
213,703.433310622798
214,713.9393140457171
215,712.1090089225779
216,613.1533971906359
217,357.6608209444072
218,345.399149393267
219,294.44205657884794
220,495.23771047789137
221,345.8906178172204
222,396.06303833462607
223,420.86505031100074
224,517.7020049626542
225,267.08751294248543
226,300.5045155497244
227,355.29143947259735
228,347.26299881470067
229,324.0767543203571
230,308.7989150280668
231,295.9529029677509
232,254.67802190378114
233,283.66430327590774
234,265.83337926909354
235,257.24710318125165
236,86.74842824314499
237,350.2394375763282
238,230.5869498078439
239,315.6705011678476
240,283.98544171021706
241,256.9699191619556
242,241.15305613942186
243,300.10943793181315
244,219.0656924375044
245,316.07131489679756
246,268.237770598503
247,367.8897053124513
248,256.5242845584054
249,303.0036012675308
250,298.4495026944975
251,325.3285481606396
252,307.2587747323918
253,320.6444688143417
254,335.23020505835933
255,301.52027510532844
256,404.3108200796893
257,299.3511991121426
258,258.93290611912624
259,228.39297387943787
260,402.5565872062355
261,350.24559594834267
262,408.29511314251255
263,429.1889043057493
264,339.50707001206564
265,302.90498163798253
266,377.6474709821545
267,358.4620428589032
268,228.17727751083052
269,400.29549501884503
270,442.77487755710956
271,670.8957811857435
272,287.9360399452172
273,310.50627995018704
274,274.858637789829
275,466.5768500135588
276,6.3203233684100155
277,379.0188012433423
278,460.51579998823604
279,474.57817991926163
280,-0.0
281,342.6793851804068
282,329.5093874670643
283,427.3307405306055
284,210.27171650909833
285,366.60385277454577
286,320.3860759582824
287,385.43569850151675
288,-0.0
289,296.0920820233437
290,313.7392501690166
291,345.5718727471544
292,283.8301339449356
293,322.5705428414515
294,333.4326963337039
295,384.343339950905
296,279.706519599672
297,336.61778210054814
298,326.0630646438397
299,383.51279782042326
300,339.1407433264959
301,349.00313382609096
302,487.9610823832587
303,834.1805007061064
304,332.5098614817495
305,332.6012983122045
306,318.1549096598409
307,359.449285471112
308,404.9433741865457
309,369.35467529464063
310,364.86067871755967
311,378.03037359442055
312,658.1533971906359
313,367.6608209444072
314,375.399149393267
315,349.44205657884794
316,590.2377104778914
317,435.8906178172204
318,496.06303833462607
319,525.8650503110008
320,618.7270049626542
321,378.1125129424854
322,431.52951554972435
323,501.3164394725973
324,479.5379988147007
325,451.35175432035714
326,406.07391502806684
327,408.22790296775094
328,363.97802190378115
329,392.96430327590775
330,390.13337926909355
331,346.54710318125166
332,115.548428243145
333,384.0394375763282
334,274.3869498078439
335,374.4705011678476
336,368.38544171021704
337,366.3699191619556
338,340.5530561394218
339,364.5094379318131
340,310.2406924375043
341,417.2463148967975
342,374.41277059850296
343,469.0647053124513
344,331.7742845584054
345,378.2536012675308
346,363.6995026944975
347,390.5785481606396
348,396.9587747323918
349,410.34446881434167
350,414.9302050583593
351,361.2202751053284
352,454.3108200796893
353,349.3511991121426
354,298.93290611912624
355,283.3929738794379
356,442.5565872062355
357,385.24559594834267
358,443.29511314251255
359,469.1889043057493
360,399.50707001206564
361,352.90498163798253
362,407.6474709821545
363,398.4620428589032
364,258.17727751083055
365,425.29549501884503
366,457.77487755710956
367,690.8957811857435
368,317.9360399452172
369,330.50627995018704
370,314.858637789829
371,481.5768500135588
372,21.320323368410016
373,399.0188012433423
374,475.51579998823604
375,489.57817991926163
376,-0.0
377,367.6793851804068
378,349.5093874670643
379,442.3307405306055
380,220.27171650909833
381,381.60385277454577
382,330.3860759582824
383,395.43569850151675
384,-0.0
385,93.64932580776653
386,239.81163553807494
